Codice|CAM|Tipologia / Famiglia|Capitolo|Voce|Articolo|Unità di misura|Prezzo senza S. G.|Prezzo|Utili di impresa|Spese generali|Di cui oneri di sicurezza afferenti l'impresa|Di cui oneri di sicurezza afferenti l'impresa %|Incidenza Manodopera indiretta sul totale|Manodopera|Incidenza Manodopera diretta sul totale|Manodopera|Incidenza Oneri di sicurezza sul totale|Scostamento % senza S. G.2025|Scostamento % su anno 2025
"CAM26_A00.010.100.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE SUPERFICI"|"Misura  ponderale  del  contenuto  d'acqua  su  murature"|"Misura  ponderale  del  contenuto  d'acqua  su  murature:  esecuzione  di  misure  del  contenuto ponderale d’acqua all’interno di murature con prelievo con microcarotiere a secco (diam. 20 mm) a diverse altezze e differenti profondità (in genere a 50 - 100 - 150 cm di altezza e fino a 5 - 10 - 15 cm di profondità); compresa eventuale sigillatura ed esclusi oneri dei trabattelli e/o ponteggi. Deve essere fornita relativa tabella dei dati  ottenuti e grafico di contenuto  ponderale d’acqua, interpretazione   dei  risultati,  eventuale  ubicazione  della  prova  su  adeguata  base  grafica  precedentemente fornita"|"cad"|"169.13015"|"217.67"|"19.78823"|"28.75213"|"0.28752"|"1,00"|"70,76"|"154.03443"|"70,76"|"154.03443"|"0,13"|""|""
"CAM26_A00.010.101.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE SUPERFICI"|"Misura ponderale del contenuto d'acqua su superfici dipinte"|"Misura ponderale del contenuto d'acqua su superfici dipinte: esecuzione di misure del contenuto ponderale d’acqua all’interno di murature con prelievo con trapano a bassa velocità di rotazione con punta inferiore a 8 mm a diverse altezze e differenti profondità (in genere a 50 - 100 - 150 cm di altezza e fino a 5 - 10 - 15 cm di profondità); compresa eventuale sigillatura ed esclusi oneri dei trabattelli e/o ponteggi. Deve essere fornita relativa tabella dei dati ottenuti e grafico di contenuto ponderale  d’acqua, interpretazione dei risultati,  eventuale ubicazione della prova su adeguata  base grafica precedentemente fornita"|"cad"|"169.13015"|"217.67"|"19.78823"|"28.75213"|"0.28752"|"1,00"|"70,76"|"154.03443"|"70,76"|"154.03443"|"0,13"|""|""
"CAM26_A00.010.102.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE SUPERFICI"|"Esecuzione   di   misure   del   contenuto   d’acqua"|"Esecuzione   di   misure   del   contenuto   d’acqua   all’interno   di   murature   mediante   metodo conduttimetrico  eseguito  con  infissione  di   sensori  nella  porzione  superficiale  (1.5  cm  di profondità) della muratura a diverse altezze e differenti profondità (in genere a 50 - 100 - 150 cm di altezza); esclusi oneri dei trabattelli e/o ponteggi. Deve essere fornita relativa tabella dei dati ottenuti e grafico delle misure ottenute, interpretazione dei risultati,  eventuale ubicazione della  prova su adeguata base grafica precedentemente fornita"|"cad"|"74.41726"|"95.78"|"8.70682"|"12.65093"|"0.12651"|"1,00"|"70,76"|"67.77515"|"70,76"|"67.77515"|"0,13"|""|""
"CAM26_A00.010.103.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE SUPERFICI"|"Assorbimento d'acqua a bassa pressione"|"Assorbimento d'acqua a bassa pressione (metodo della pipetta): esecuzione di  una misura di assorbimento d’acqua a bassa  pressione in sito o su provini, di forma regolare, in laboratorio (ogni misura viene eseguita su tre provini) per la valutazione dell'idrorepellenza, del degrado o della riduzione di porosità data dai prodotti consolidanti (Raccomandazioni NorMaL 44/93). Deve essere fornita relativa tabella dei dati ottenuti e grafico di assorbimento, eventuale interpretazione dei risultati, ubicazione della prova su adeguata  base grafica precedentemente fornita. Esclusi  oneri dei trabattelli e/o ponteggi"|"cad"|"250.31262"|"322.15"|"29.28658"|"42.55315"|"2.12766"|"5,00"|"70,76"|"227.97095"|"70,76"|"227.97095"|"0,66"|""|""
"CAM26_A00.010.104.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE SUPERFICI"|"Tassello  stratigrafico"|"Tassello  stratigrafico:  esecuzione  di  un   tassello-stratigrafico,  eseguito  da  un   restauratore specializzato, al fine di evidenziare le principali caratteristiche stratigrafiche delle finiture pittoriche fino al supporto (intonaco o pietra); le dimensioni variano da 10x20 cm ad un massimo di 10x 30 cm. Si deve fornire la documentazione fotografica relativa con  lettura degli strati riscontrati ed ubicazione della prova su adeguata base grafica precedentemente fornita. Compresi oneri delle  scale, tra battelli e quant’altro necessario fino all’altezza di 3 metri"|"cad"|"135.30412"|"174.14"|"15.83058"|"23.00170"|"1.15009"|"5,00"|"70,76"|"123.22754"|"70,76"|"123.22754"|"0,66"|""|""
"CAM26_A00.010.105.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE SUPERFICI"|"Colorimetria a riflettanza"|"Colorimetria a riflettanza: esecuzione di una misura colorimetrica a riflettanza per valutare in modo  oggettivo,  mediante  l'acquisizione  di  coordinate  colorimetriche  di  riferimento,  l'aspetto cromatico e le eventuali variazioni (mediante il calcolo del Delta E di scarto) (Raccomandazioni NorMaL 43/93). Deve essere fornita relativa tabella di coordinate colorimetriche e dei parametri  statistici"|"cad"|"67.65206"|"87.07"|"7.91529"|"11.50085"|"0.57504"|"5,00"|"70,76"|"61.61377"|"70,76"|"61.61377"|"0,66"|""|""
"CAM26_A00.020.200.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Carotaggio e lettura della carota"|"Carotaggio e lettura della carota: esecuzione  di carotaggio nelle murature per  il prelievo di campioni di muratura e per la verifica dello  stato di conservazione interno eseguito mediante carotiere raffreddato ad acqua  e punte diamantate  del Diametro = 40-100 mm. Si fornisce  la lettura, la documentazione fotografica, la rappresentazione schematica della carota estratta  e l’ubicazione della prova su adeguata base grafica precedentemente fornita. Esclusi oneri dei trabattelli e/o ponteggi  fino ad 1 metro"|"ml"|"311.19949"|"400.51"|"36.41034"|"52.90391"|"2.64520"|"5,00"|"70,76"|"283.42335"|"70,76"|"283.42335"|"0,66"|""|""
"CAM26_A00.020.200.B"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Carotaggio e lettura della carota"|"Carotaggio e lettura della carota: esecuzione  di carotaggio nelle murature per  il prelievo di campioni di muratura e per la verifica dello  stato di conservazione interno eseguito mediante carotiere raffreddato ad acqua  e punte diamantate  del Diametro = 40-100 mm. Si fornisce  la lettura, la documentazione fotografica, la rappresentazione schematica della carota estratta  e l’ubicazione della prova su adeguata base grafica precedentemente fornita. Esclusi oneri dei trabattelli e/o ponteggi  oltre un 1 metro"|"ml"|"196.19098"|"252.50"|"22.95435"|"33.35247"|"1.66762"|"5,00"|"70,76"|"178.67994"|"70,76"|"178.67994"|"0,66"|""|""
"CAM26_A00.020.201.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Esame endoscopico"|"Esame endoscopico mediante boroscopio rigido eseguiti in fori di D max=3,5 cm e L max=100 cm per la valutazione della muratura retrostante, della presenza di fessurazioni rilevanti e per la verifica degli spessori. Si fornisce la lettura, la documentazione fotografica, la rappresentazione schematica della muratura e l’ubicazione della prova su adeguata base grafica precedentemente  fornita. Esclusi oneri dei trabattelli e/o ponteggi"|"cad"|"460.03402"|"592.06"|"53.82398"|"78.20578"|"3.91029"|"5,00"|"70,76"|"418.97364"|"70,76"|"418.97364"|"0,66"|""|""
"CAM26_A00.020.202.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Esame videoscopico"|"Esame  videoendoscopico  all’interno  del  foro   per  ricostruzione  della  tipologia  muraria.   Da eseguirsi nella muratura originaria mediante l'uso di microtelecamera illuminata con fonte di luce remota e fibre ottiche; le riprese vengono registrate su nastro magnetica VHS.  Si fornisce la lettura,  la  documentazione  fotografica  (scelta  con  immagini  significative  delle  riprese),  la rappresentazione schematica della muratura e l’ubicazione della prova su adeguata base grafica precedentemente fornita. Esclusi oneri dei trabattelli e/o ponteggi  fino ad 1 metro"|"ml"|"615.63375"|"792.32"|"72.02915"|"104.65774"|"5.23289"|"5,00"|"70,76"|"560.68531"|"70,76"|"560.68531"|"0,66"|""|""
"CAM26_A00.020.202.B"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Esame videoscopico"|"Esecuzione   di   misure   del   contenuto   d’acqua   all’interno   di   murature   mediante   metodo conduttimetrico  eseguito  con  infissione  di   sensori  nella  porzione  superficiale  (1.5  cm  di profondità) della muratura a diverse altezze e differenti profondità (in genere a 50 - 100 - 150 cm di altezza); esclusi oneri dei trabattelli e/o ponteggi. Deve essere fornita relativa tabella dei dati ottenuti e grafico delle misure ottenute, interpretazione dei risultati,  eventuale ubicazione della  prova su adeguata base grafica precedentemente fornita"|"ml"|"155.59973"|"200.26"|"18.20517"|"26.45195"|"1.32260"|"5,00"|"70,76"|"141.71167"|"70,76"|"141.71167"|"0,66"|""|""
"CAM26_A00.020.203.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Prova del martinetto piatto singolo"|"Verifica dello stato tensionale mediante martinetto piatto singolo: esecuzione di verifiche dello stato tensionale mediante martinetto piatto quadrato da inserirsi in taglio orizzontale praticato nella muratura. Le prove permettono di conoscere l’effettivo stato tensionale presente al centro ed ai lati della muratura. Si deve fornire la tabella ed il grafico dei dati ottenuti, la documentazione fotografica, l’elaborazione e l’interpretazione di  risultati e l’ubicazione della prova su adeguata  base grafica precedentemente fornita. Esclusi oneri dei trabattelli e/o ponteggi"|"cad"|"1386.86725"|"1784.90"|"162.26347"|"235.76743"|"11.78837"|"5,00"|"70,76"|"1263.08230"|"70,76"|"1263.08230"|"0,66"|""|""
"CAM26_A00.020.204.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Prova dei martinetti piatti doppi"|"Prove di compressione mediante martinetti  piatti doppi: esecuzione di prove di  compressione mediante martinetti piatti quadrati doppi per la valutazione del modulo elastico e della resistenza massima  a  rottura  della  muratura:  tali  valori  verranno  confrontati  con  quelli  ottenuti  dalle misurazioni dello stato tensionale nel caso siano eseguiti nello stesso punto. Si deve fornire la tabella   ed   il   grafico   dei   dati   ottenuti,   la   documentazione   fotografica,   l’elaborazione   e l’interpretazione di risultati e l’ubicazione della prova su adeguata base grafica precedentemente  fornita. Esclusi oneri dei trabattelli e/o ponteggi"|"cad"|"2313.70048"|"2977.73"|"270.70296"|"393.32908"|"19.66645"|"5,00"|"70,76"|"2107.19096"|"70,76"|"2107.19096"|"0,66"|""|""
"CAM26_A00.020.205.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Riverifica con martinetto piatto singolo"|"Verifica  dello  stato  tensionale con martinetto singolo nella zone in cui è stata eseguita la prova di compressione mediante martinetti  piatti doppi"|"cad"|"771.23350"|"992.58"|"90.23432"|"131.10970"|"6.55549"|"5,00"|"70,76"|"702.39699"|"70,76"|"702.39699"|"0,66"|""|""
"CAM26_A00.020.207.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Prova di permeabilità"|"Esecuzione  della  prova  di  permeabilità  in  sito  su  una  parte  di  muratura  consistente  nella immissione di acqua a pressione atmosferica in caduta da una  quota prestabilita mediante un tubo inserito a metà dello spessore della parete. Vengono quindi registrati i tempi e le modalità di propagazione del liquido nell’ambito della parete nonché il quantitativo di acqua immesso nella parete in funzione del tempo trascorso dall’inizio della prova. Si deve fornire la tabella ed il grafico dei  dati  ottenuti,  la  documentazione  fotografica,  l’interpretazione  di  risultati   ed  eventuale ubicazione della prova su adeguata base grafica  precedentemente fornita. Esclusi oneri dei  trabattelli e/o ponteggi"|"cad"|"703.58144"|"905.51"|"82.31903"|"119.60884"|"5.98044"|"5,00"|"70,76"|"640.78322"|"70,76"|"640.78322"|"0,66"|""|""
"CAM26_A00.020.210.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN SITO - CARATTERIZZAZIONE DELLE STRUTTURE"|"Indagine magnetometrica"|"Indagine magnetometrica mediante pacometro in grado di identificare la presenza di elementi metallici al di sotto delle superfici intonacate o lapidee. L'indagine comprende la documentazione fotografica  della  zona  indagata  con  rappresentazione  schematica  dei  punti   di  misura  e  localizzazione degli elementi eventualmente individuati"|"mq"|"33.82604"|"43.53"|"3.95765"|"5.75043"|"0.28752"|"5,00"|"70,76"|"30.80689"|"70,76"|"30.80689"|"0,66"|""|""
"CAM26_A00.030.300.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Descrizione macroscopica"|"Esecuzione di una descrizione  macroscopica per evidenziare  le caratteristiche macroscopiche composizionali, cromatiche,  di coesione e di adesione delle malte (Racc. NorMaL 10/82).Deve essere  fornita   relativa  interpretazione  e  documentazione  fotografica  a  colori  a  differenti  ingrandimenti (da ingr. ob. 6X a 12X)"|"cad"|"81.18247"|"104.48"|"9.49835"|"13.80102"|"0.69005"|"5,00"|"70,76"|"73.93652"|"70,76"|"73.93652"|"0,66"|""|""
"CAM26_A00.030.301.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Sezione lucida trasversale"|"Esecuzione di una sezione lucida trasversale, per individuare la sequenza dei differenti strati del paramento, degli stucchi o degli intonaci (Raccomandazioni NorMaL 12/83 e 14/83).Deve essere fornita relativa interpretazione e documentazione fotografica a colori a differenti ingrandimenti (da  ingr. ob. 6X a 50X)"|"cad"|"155.59973"|"200.26"|"18.20517"|"26.45195"|"1.32260"|"5,00"|"70,76"|"141.71167"|"70,76"|"141.71167"|"0,66"|""|""
